stagione,data,partita,arbitro,mercato,quota,prob_%,edge_%,stake_€,esito,profitto_€
2023-24,2023-10-08T00:00:00.000,Napoli vs Fiorentina,—,X - Pareggio,4.26,27.3,16.5,6.32,✗ Persa,-6.32
2023-24,2023-10-08T00:00:00.000,Napoli vs Fiorentina,—,2 - Vittoria Ospite,5.6,20.5,15.1,4.1,✓ Vinta,18.86
2023-24,2023-10-21T00:00:00.000,Torino vs Inter,—,1 - Vittoria Casa,5.39,26.3,41.9,11.92,✗ Persa,-11.92
2023-24,2023-10-21T00:00:00.000,Sassuolo vs Lazio,—,2 - Vittoria Ospite,2.57,45.8,17.6,14.05,✓ Vinta,22.06
2023-24,2023-10-22T00:00:00.000,Roma vs Monza,—,2 - Vittoria Ospite,5.08,24,21.8,6.68,✗ Persa,-6.68
2023-24,2023-10-22T00:00:00.000,Salernitana vs Cagliari,—,Over 2.5 Gol,2.23,52.6,17.3,17.55,✓ Vinta,21.59
2023-24,2023-10-22T00:00:00.000,Salernitana vs Cagliari,—,1 - Vittoria Casa,2.35,52.9,24.3,22.48,✗ Persa,-22.48
2023-24,2023-10-22T00:00:00.000,Milan vs Juventus,—,X - Pareggio,3.29,39.9,31.4,17.14,✗ Persa,-17.14
2023-24,2023-10-23T00:00:00.000,Udinese vs Lecce,—,Under 2.5 Gol,1.68,69.3,16.4,30.21,✓ Vinta,20.54
2023-24,2023-10-23T00:00:00.000,Fiorentina vs Empoli,—,2 - Vittoria Ospite,7.67,17,30.2,5.67,✓ Vinta,37.82
2023-24,2023-10-23T00:00:00.000,Fiorentina vs Empoli,—,X - Pareggio,4.89,25.9,26.8,8.6,✗ Persa,-8.6
2023-24,2023-10-23T00:00:00.000,Fiorentina vs Empoli,—,Under 2.5 Gol,2.3,52.7,21.3,20.48,✓ Vinta,26.62
2023-24,2023-10-27T00:00:00.000,Genoa vs Salernitana,—,2 - Vittoria Ospite,5.17,39.9,106,31.79,✗ Persa,-31.79
2023-24,2023-10-27T00:00:00.000,Genoa vs Salernitana,—,Under 2.5 Gol,1.75,66.8,16.9,28.09,✓ Vinta,21.07
2023-24,2023-10-28T00:00:00.000,Sassuolo vs Bologna,—,2 - Vittoria Ospite,2.69,43.5,17,12.55,✗ Persa,-12.55
2023-24,2023-10-28T00:00:00.000,Juventus vs Verona,—,X - Pareggio,5.17,26.8,38.5,11.55,✗ Persa,-11.55
2023-24,2023-10-28T00:00:00.000,Juventus vs Verona,—,Under 2.5 Gol,2.06,60.2,24,28.34,✓ Vinta,30.04
2023-24,2023-10-28T00:00:00.000,Juventus vs Verona,—,2 - Vittoria Ospite,9.54,12.9,23,3.37,✗ Persa,-3.37
2023-24,2023-10-30T00:00:00.000,Empoli vs Atalanta,—,1 - Vittoria Casa,5.03,27.8,39.9,12.39,✗ Persa,-12.39
2023-24,2023-11-04T00:00:00.000,Salernitana vs Napoli,—,X - Pareggio,4.99,24.7,23.5,7.35,✗ Persa,-7.35
2023-24,2023-11-04T00:00:00.000,Salernitana vs Napoli,—,Under 2.5 Gol,2.48,47.9,18.7,15.8,✓ Vinta,23.38
2023-24,2023-11-04T00:00:00.000,Salernitana vs Napoli,—,1 - Vittoria Casa,7.02,19.4,36,7.48,✗ Persa,-7.48
2023-24,2023-11-04T00:00:00.000,Atalanta vs Inter,—,X - Pareggio,3.47,35.6,23.5,11.88,✗ Persa,-11.88
2023-24,2023-11-04T00:00:00.000,Atalanta vs Inter,—,Over 2.5 Gol,1.85,66.6,23.2,34.1,✓ Vinta,28.99
